사용일자,분당선,합계
2021-09-18,7458,7458
2021-09-19,5421,5421
2021-09-20,4449,4449
2021-09-21,2867,2867
2021-09-22,5586,5586
2021-09-23,9008,9008
2021-09-24,10273,10273
2021-09-25,8249,8249
2021-09-26,6613,6613
2021-09-27,9866,9866
2021-09-28,9923,9923
2021-09-29,9560,9560
2021-09-30,10607,10607
2021-10-01,10753,10753
2021-10-02,9156,9156
2021-10-03,8228,8228
2021-10-04,5684,5684
2021-10-05,9945,9945
2021-10-06,9792,9792
2021-10-07,10028,10028
2021-10-08,10077,10077
2021-10-09,8397,8397
2021-10-10,5131,5131
2021-10-11,7133,7133
2021-10-12,10516,10516
2021-10-13,11272,11272
2021-10-14,10992,10992
2021-10-15,11054,11054
2021-10-16,8693,8693
2021-10-17,5969,5969
2021-10-18,9970,9970
2021-10-19,10287,10287
2021-10-20,10856,10856
2021-10-21,10977,10977
2021-10-22,10353,10353
2021-10-23,8289,8289
2021-10-24,7651,7651
2021-10-25,10489,10489
2021-10-26,10385,10385
2021-10-27,11198,11198
2021-10-28,11292,11292
2021-10-29,12136,12136
2021-10-30,11127,11127
2021-10-31,8924,8924
2021-11-01,11400,11400
2021-11-02,11996,11996
2021-11-03,12246,12246
2021-11-04,12136,12136
2021-11-05,13327,13327
2021-11-06,13323,13323
2021-11-07,10756,10756
2021-11-08,9929,9929
2021-11-09,10733,10733
2021-11-10,11658,11658
2021-11-11,11931,11931
2021-11-12,12461,12461
2021-11-13,10142,10142
2021-11-14,7506,7506
2021-11-15,11248,11248
2021-11-16,11822,11822
2021-11-17,11888,11888
2021-11-18,11402,11402
2021-11-19,12134,12134
2021-11-20,9505,9505
2021-11-21,6404,6404
2021-11-22,10618,10618
2021-11-23,11012,11012
2021-11-24,11178,11178
2021-11-25,11526,11526
2021-11-26,11692,11692
2021-11-27,8643,8643
2021-11-28,6250,6250
2021-11-29,10699,10699
2021-11-30,10268,10268
2021-12-01,10790,10790
2021-12-02,10799,10799
2021-12-03,11826,11826
2021-12-04,8383,8383
2021-12-05,6460,6460
